"Name","adamw_lr","muon_lr","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"pretty-sweep-21","0.00025334594685874867","0.0006107836646433704","0.0002903953067502169","1.6231135129928589","0.9999995704810936","0.8457479196265476","0.8493834232464099","0.8530189268662721","0.4843462109565735","0.846","0.8491348578225928","0.8522697156451856"
"vital-sweep-20","0.00027990179757076186","0.0005914213024702504","0.00022349720002503288","1.627401351928711","0.9999996051850246","0.8461538461538461","0.8490618411796889","0.8519698362055316","0.4869844913482666","0.846","0.8488835317866446","0.8517670635732892"
"dauntless-sweep-19","0.00022330314381904673","0.0006072281657085755","0.0002187636569620684","1.642808437347412","0.9999995297265912","0.8447331033083012","0.8474856715893192","0.8502382398703372","0.4964072108268738","0.844","0.8466005429924752","0.8492010859849504"
"vague-sweep-18","0.0001991301561357372","0.0006061887286119874","0.0001699785766446874","1.660740852355957","0.9999995644027472","0.8447331033083012","0.8463240233161644","0.8479149433240276","0.5072637796401978","0.844","0.8460552434916638","0.8481104869833277"
"wild-sweep-17","0.00019082594606225007","0.0006046191509258382","0.00022256053883161608","1.671058177947998","0.9999995628425246","0.8445301400446519","0.8457905643748249","0.847050988704998","0.5134570002555847","0.84","0.8440827167193683","0.8481654334387365"
"decent-sweep-16","0.00021989809021766984","0.0005784819666615649","0.0002276273982856204","1.6686813831329346","0.9999995910598588","0.8433123604627563","0.8450344989744434","0.8467566374861305","0.5120337605476379","0.832","0.8400466304705306","0.8480932609410613"
"copper-sweep-15","0.0002323428089530993","0.0005589865959144827","0.0002455822207916203","1.6816840171813965","0.9999995762807266","0.841688654353562","0.8435766553990919","0.8454646564446218","0.5197957158088684","0.834","0.8408423996535752","0.8476847993071505"
"snowy-sweep-14","0.0002528879785489094","0.0005951466505319914","0.00027815727086893174","1.6339796781539917","0.9999994804867032","0.8451390298355997","0.847922534775664","0.8507060397157284","0.49101853370666504","0.848","0.8492513562566459","0.8505027125132919"
"swept-sweep-13","0.00025591911978193113","0.0005901015534102601","0.00033168773360747565","1.638283610343933","0.9999995550136576","0.8429064339354577","0.8451299794344549","0.8473535249334522","0.4936491847038269","0.842","0.8455668691694171","0.8491337383388342"
"apricot-sweep-12","0.00021082841082375968","0.0005690154611866072","0.00023799850641242673","1.682076930999756","0.999999542202464","0.8427034706718084","0.8439812039330239","0.8452589371942394","0.5200293064117432","0.834","0.8411664781893031","0.8483329563786062"
