script,run,epoch1_pearson,epoch1_accuracy,epoch1_combine,epoch2_pearson,epoch2_accuracy,epoch2_combine,epoch3_pearson,epoch3_accuracy,epoch3_combine,test_pearson,test_accuracy,test_combine
nlp_hw3_bert.py,7,6,0.8229675218211006,0.6,0.7114837609105502,0.8426243118867759,0.826,0.8343121559433879,0.8645640778486846,0.828,0.8462820389243423,0.870358933492243,0.8355997564440836,0.8529793449681633
nlp_hw3_bert.py,7,7,0.8141140745728243,0.692,0.753057037286412,0.8525852672740737,0.814,0.8332926336370368,0.8659804464835692,0.842,0.8539902232417846,0.8726415139523241,0.8443271767810027,0.8584843453666634
nlp_hw3_bert.py,7,8,0.8076614584612833,0.648,0.7278307292306416,0.8582222832449611,0.84,0.8491111416224806,0.861421459046599,0.834,0.8477107295232995,0.8635946173323948,0.8258575197889182,0.8447260685606566
nlp_hw3_bert.py,7,9,0.8256328823235553,0.666,0.7458164411617776,0.860500094095225,0.824,0.8422500470476124,0.8749296837627172,0.86,0.8674648418813586,0.8796336516707554,0.8508220012177796,0.8652278264442674
nlp_hw3_bert.py,7,10,0.8055627177424447,0.63,0.7177813588712223,0.8458896335538943,0.828,0.8369448167769471,0.857491907790019,0.834,0.8457459538950095,0.874066696213536,0.8431093971991069,0.8585880467063215
nlp_hw3_bert.py,8,1,0.8079629569607815,0.574,0.6909814784803907,0.8370038429296902,0.83,0.8335019214648451,0.8568234134366073,0.834,0.8454117067183036,0.8661690186391184,0.8347879033894865,0.8504784610143025
nlp_hw3_bert.py,8,2,0.8091147436553333,0.564,0.6865573718276666,0.8550453275670528,0.808,0.8315226637835265,0.8742939099295404,0.834,0.8541469549647702,0.8726672481302554,0.8345849401258372,0.8536260941280462
nlp_hw3_bert.py,8,3,0.7915795602906615,0.638,0.7147897801453307,0.8511474841744503,0.8,0.8255737420872251,0.8707004734572306,0.846,0.8583502367286153,0.8709155990213489,0.841688654353562,0.8563021266874554
nlp_hw3_bert.py,8,4,0.8003556700584119,0.564,0.6821778350292059,0.8501244662943696,0.814,0.8320622331471847,0.8603642193449296,0.822,0.8411821096724648,0.8616832888497242,0.8215952912522834,0.8416392900510038
nlp_hw3_bert.py,8,5,0.8069744200802909,0.69,0.7484872100401454,0.8483812156338714,0.818,0.8331906078169357,0.8594201506676189,0.846,0.8527100753338095,0.8670653915643932,0.8392530951897706,0.8531592433770819
nlp_hw3_bert.py,8,6,0.8088462383707663,0.612,0.7104231191853831,0.8524208701353818,0.814,0.8332104350676909,0.8620986119400139,0.842,0.8520493059700069,0.8702969029966243,0.8431093971991069,0.8567031500978657
nlp_hw3_bert.py,8,7,0.7979202137837018,0.616,0.706960106891851,0.8499919525501672,0.82,0.8349959762750836,0.8575790335792844,0.824,0.8407895167896422,0.8630540054358006,0.8195656586157906,0.8413098320257956
nlp_hw3_bert.py,8,8,0.8109491097891562,0.574,0.6924745548945781,0.8491466461536032,0.814,0.8315733230768017,0.868282732578378,0.838,0.8531413662891889,0.8681209695654064,0.8406738380353156,0.854397403800361
nlp_hw3_bert.py,8,9,0.7865169979100488,0.622,0.7042584989550245,0.8480782388520528,0.806,0.8270391194260265,0.8609442351442771,0.844,0.8524721175721386,0.869429310227412,0.8404708747716664,0.8549500924995392
nlp_hw3_bert.py,8,10,0.8047099675611947,0.566,0.6853549837805973,0.8557027760607467,0.822,0.8388513880303734,0.8654112075405354,0.836,0.8507056037702676,0.8746026830707699,0.8420945808808605,0.8583486319758152
nlp_hw3_bert.py,9,1,0.7957483372938997,0.584,0.6898741686469498,0.8416964308263488,0.814,0.8278482154131743,0.8546666658327036,0.82,0.8373333329163517,0.8608778670061338,0.8161152831337528,0.8384965750699434
nlp_hw3_bert.py,9,2,0.7798806439281702,0.564,0.6719403219640852,0.8304951433658962,0.788,0.8092475716829481,0.8521915806466713,0.822,0.8370957903233356,0.8561033281640505,0.8138826872336107,0.8349930076988306
nlp_hw3_bert.py,9,3,0.7812413661434067,0.564,0.6726206830717033,0.8477171007976243,0.788,0.8178585503988122,0.8544203471275044,0.838,0.8462101735637522,0.854328467191541,0.8187538055611934,0.8365411363763672
nlp_hw3_bert.py,9,4,0.7767259908247122,0.564,0.670362995412356,0.8239286926623449,0.786,0.8049643463311724,0.8556425411321114,0.83,0.8428212705660556,0.863798290222814,0.8211893647249848,0.8424938274738993
nlp_hw3_bert.py,9,5,0.7843093126972797,0.564,0.6741546563486398,0.8388240705376944,0.812,0.8254120352688472,0.8537491378962818,0.814,0.8338745689481408,0.8600887042009283,0.809011568906028,0.8345501365534782
nlp_hw3_bert.py,9,6,0.7932922495412212,0.564,0.6786461247706106,0.8411970614469533,0.81,0.8255985307234767,0.8595320095979844,0.834,0.8467660047989922,0.8646354875416232,0.8232189973614775,0.8439272424515504
nlp_hw3_bert.py,9,7,0.7830558676497205,0.564,0.6735279338248602,0.8403249474901222,0.8,0.8201624737450611,0.8553051248413869,0.816,0.8356525624206934,0.859391913272827,0.8100263852242744,0.8347091492485508
nlp_hw3_bert.py,9,8,0.7730819143021458,0.564,0.6685409571510729,0.8405017921105441,0.804,0.8222508960552721,0.855466194852019,0.84,0.8477330974260096,0.863578472523608,0.8280901156890603,0.8458342941063342
nlp_hw3_bert.py,9,9,0.7823195922766861,0.57,0.676159796138343,0.8349658207858137,0.808,0.8214829103929069,0.8556095055939857,0.836,0.8458047527969929,0.8627476846688903,0.825654556525269,0.8442011205970796
