"Name","adamw_lr","muon_lr","warmup_ratio","weight_decay","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"cerulean-sweep-35","0.00017203169025119703","0.0008232816118305721","0.08617594041064569","0.00005585583643938379","1.3205337524414062","0.9999996281221584","0.8674649888370205","0.8686189164359421","0.8697728440348639","0.27803605794906616","0.842","0.85248959843501","0.86297919687002"
"divine-sweep-101","0.00021627489647007067","0.0007984389068026189","0.017035848514363794","0.0000282688311934839","1.2856643199920654","0.9999994856528656","0.8680738786279684","0.8686058973868072","0.8691379161456461","0.25127559900283813","0.848","0.8560631738345142","0.8641263476690285"
"eager-sweep-109","0.00021231771137336417","0.0007949291890978001","0.02682310533219552","0.00009543546053046338","1.3094360828399658","0.9999995215584582","0.8694946214735133","0.8685748574350394","0.8676550933965653","0.26959654688835144","0.85","0.8556396115806618","0.8612792231613237"
"rural-sweep-4","0.0001470290779810932","0.0008568886461262046","0.08064839790838033","0.000022033857600070583","1.2771095037460327","0.9999994343010344","0.8672620255733712","0.8685652248829746","0.869868424192578","0.2445993274450302","0.852","0.8556568270860457","0.8593136541720915"
"glad-sweep-9","0.00013592149574248862","0.0008381042497703591","0.15577415795892094","0.000023775657312923585","1.2751743793487549","0.9999996257174268","0.8672620255733712","0.8685412128103578","0.8698204000473443","0.24308297038078308","0.848","0.8492140054397219","0.850428010879444"
"frosty-sweep-100","0.00021928906176998093","0.0008015583142377674","0.07115646033126764","0.000026313652031282564","1.305465817451477","0.9999997541375064","0.8690886949462148","0.8684376066309377","0.8677865183156607","0.266559898853302","0.85","0.8559948374817139","0.8619896749634279"
"exalted-sweep-76","0.00020539354398957935","0.0007162876664512546","0.0912788171448819","0.00005797714171100789","1.3303089141845703","0.9999995326315214","0.8705094377917597","0.8684319547538449","0.8663544717159302","0.28541117906570435","0.838","0.8461439217115282","0.8542878434230564"
"generous-sweep-363","0.00020928386034776685","0.0007802152492026224","0.1067669885064727","0.0000290991869087356","1.300310492515564","0.99999948566602","0.869291658209864","0.8683074194034424","0.8673231805970208","0.26260316371917725","0.836","0.8463242798359929","0.8566485596719859"
"resilient-sweep-62","0.00017918813479514016","0.000745394305924339","0.07110410139844779","0.00004143642130196319","1.3169366121292114","0.999999580857646","0.8688857316825654","0.8682923697275382","0.8676990077725111","0.2753082513809204","0.83","0.8433731883733598","0.8567463767467197"
"fearless-sweep-38","0.0001490585515949426","0.0007998295588722074","0.14419449527836734","0.000026013865189772507","1.29338538646698","0.999999577980674","0.8676679521006698","0.8682270582013958","0.8687861643021216","0.25726309418678284","0.84","0.8432141250476106","0.8464282500952214"
"treasured-sweep-115","0.00016602596593696552","0.0008732544608468369","0.033919287619084804","0.000023868003991305685","1.277836561203003","0.9999994146359584","0.8680738786279684","0.8682016028884587","0.868329327148949","0.24516841769218445","0.846","0.8518777823125514","0.8577555646251028"
"peachy-sweep-378","0.00012236803227691267","0.0008365872404604631","0.027273048515271014","0.000012495847634222594","1.3025546073913574","0.9999995666892076","0.8666531357824234","0.8681421162899318","0.8696310967974401","0.26432740688323975","0.848","0.8525689631878486","0.8571379263756972"
"playful-sweep-10","0.0001422805084504339","0.0008951377625823311","0.05263492388830711","0.000023275914711185488","1.3112523555755615","0.9999995878347328","0.8662472092551248","0.86812380302552","0.8700003967959151","0.2709827125072479","0.85","0.8545320628208584","0.8590641256417167"
"devout-sweep-121","0.00019929032742460373","0.0008127461341681314","0.06061930228238504","0.00008783473477663611","1.3228946924209597","0.9999996229101136","0.8684798051552669","0.8680966784415804","0.867713551727894","0.27982228994369507","0.842","0.8511963620331529","0.8603927240663057"
"trim-sweep-3","0.00020610027105772696","0.0007392439122362769","0.07172618511910922","0.00008707644635286558","1.3084213733673096","0.9999995477827798","0.8686827684189162","0.8680373118566194","0.8673918552943224","0.2688213586807251","0.842","0.8506407351664903","0.8592814703329806"
"devoted-sweep-70","0.00017199306707489526","0.0007818376915943832","0.1571365482830792","0.00006172065918749395","1.3084951639175415","0.9999996545060308","0.8668560990460726","0.8680307592384157","0.8692054194307587","0.2688777446746826","0.842","0.8472270633080499","0.8524541266160996"
"glad-sweep-32","0.00013165558379459478","0.0008210581770973263","0.16231716443447092","0.00008199349909030253","1.2987903356552124","0.9999995655370664","0.8672620255733712","0.8680107661045086","0.8687595066356459","0.26143336296081543","0.848","0.8515222580660458","0.8550445161320915"
"denim-sweep-60","0.00015195140561675014","0.0008098706222184712","0.12253816448723127","0.00005910745586357746","1.2879157066345217","0.9999994799049128","0.869291658209864","0.8679787340730141","0.8666658099361643","0.2530251145362854","0.836","0.8445659389365616","0.8531318778731232"
"comic-sweep-19","0.00015706599501134","0.0008105505387145502","0.1962354595293784","0.000029607873006953793","1.293083906173706","0.9999997820116396","0.8690886949462148","0.8679442866868087","0.8667998784274026","0.2570299506187439","0.842","0.8478062463168917","0.8536124926337835"
"worthy-sweep-103","0.00018877957978099367","0.0007130929734904934","0.07761362879042231","0.000026794090029457235","1.3334252834320068","0.999999468701721","0.8684798051552669","0.867937324008107","0.8673948428609469","0.2877509891986847","0.854","0.8551289774098549","0.8562579548197099"
"colorful-sweep-361","0.00019652397001467448","0.0008016383070731969","0.1215799660586977","0.000012470926945994878","1.2979018688201904","0.999999554752364","0.8686827684189162","0.8679129028534975","0.867143037288079","0.26074904203414917","0.842","0.8494404836654394","0.8568809673308788"
"light-sweep-24","0.00020803424316590108","0.000850235799986726","0.058491761194714935","0.00005392244761138827","1.296657681465149","0.9999995967523136","0.8648264664095798","0.8678855055595223","0.8709445447094647","0.25978994369506836","0.84","0.8494244583275576","0.8588489166551152"
"earnest-sweep-108","0.00016661941555354295","0.0008994460486668345","0.08070833864188015","0.00003547662559850411","1.281057357788086","0.9999994754595014","0.8660442459914756","0.8678623166669075","0.8696803873423395","0.24768579006195068","0.846","0.8526092302373286","0.8592184604746572"
"earnest-sweep-137","0.00017331575774175793","0.000857631994504428","0.03463537130350249","0.000029553493433105803","1.274140238761902","0.999999367306172","0.867870915364319","0.8678006141885377","0.8677303130127564","0.24227160215377808","0.842","0.8503965104259683","0.8587930208519368"
"morning-sweep-97","0.00021098551198825384","0.0007188630092740483","0.10893512457386877","0.000022970339214032377","1.349084973335266","0.999999684262422","0.869291658209864","0.8677861277170085","0.8662805972241528","0.29942646622657776","0.842","0.8469567483069732","0.8519134966139464"
"dashing-sweep-369","0.00016461691612514354","0.0007955227293897236","0.03209034953106167","0.0000741966722468997","1.3211690187454224","0.999999541705064","0.8668560990460726","0.8677086034648107","0.8685611078835488","0.278516948223114","0.85","0.8541655775435381","0.8583311550870761"
"gallant-sweep-376","0.00021043580007451977","0.0008717937941652482","0.0917692215606893","0.00009094430276660992","1.2747198343276978","0.9999995104743596","0.8672620255733712","0.8677055039459907","0.8681489823186103","0.24272644519805908","0.842","0.8493138587132416","0.8566277174264832"
"ruby-sweep-370","0.00014611724327802484","0.0007783616415697575","0.16227933659259158","0.0000967792962145248","1.3227638006210327","0.9999995937012388","0.8672620255733712","0.8676731691489874","0.8680843127246036","0.27972328662872314","0.838","0.8462139779149009","0.8544279558298019"
"decent-sweep-42","0.00012905882931637348","0.0008286735609242169","0.1877312551264504","0.000015842994600118463","1.3074345588684082","0.9999997071161408","0.8676679521006698","0.8676267787984215","0.8675856054961731","0.2680668532848358","0.846","0.8495664621978443","0.8531329243956887"
"stilted-sweep-123","0.00015496432508271354","0.0008367136786830705","0.04743770472900102","0.000012332112938961898","1.3013468980789185","0.9999995495242082","0.8654353562005277","0.8676131193238433","0.869790882447159","0.2633998394012451","0.848","0.8532019406050881","0.8584038812101764"
"graceful-sweep-80","0.00012373487655172768","0.000840534824640702","0.013917985052705318","0.00001808720197785639","1.277311086654663","0.9999993806068844","0.867059062309722","0.8675456389760052","0.8680322156422886","0.24475716054439545","0.84","0.8509565180059049","0.8619130360118099"
"floral-sweep-30","0.00019484607312427116","0.0007377537642690035","0.06607916440362382","0.000044955464573535565","1.315177083015442","0.999999631787478","0.8680738786279684","0.8675429530820816","0.8670120275361949","0.2739713191986084","0.844","0.8508743200336755","0.8577486400673511"
"sweet-sweep-158","0.00020425842019442471","0.0008593546887094697","0.1457658740199414","0.00001728117205499396","1.2635680437088013","0.999999385547051","0.8703064745281104","0.8675409819197455","0.8647754893113805","0.23393946886062625","0.834","0.846041202415883","0.858082404831766"
"sandy-sweep-66","0.0001849142273493924","0.0007317969922288682","0.10235941698070272","0.00002149617395237291","1.3389538526535034","0.9999995024473572","0.8690886949462148","0.8675257253143107","0.8659627556824068","0.29188862442970276","0.834","0.8428545035397639","0.8517090070795277"
"pious-sweep-149","0.00012042715330047876","0.000755294389306444","0.08687295772802595","0.000013937752154796544","1.3140394687652588","0.999999491676909","0.8690886949462148","0.8675187560510418","0.8659488171558688","0.2731058895587921","0.838","0.8451868337068742","0.8523736674137485"
"resilient-sweep-105","0.00013244094882416377","0.0007459748879937418","0.07282731395661572","0.000017253826054626332","1.322279930114746","0.9999995890468956","0.8674649888370205","0.8674890411171067","0.8675130933971928","0.2793574631214142","0.844","0.8508389366279938","0.8576778732559875"
"mild-sweep-73","0.00015741536501249887","0.0007836352194904081","0.09902107737594736","0.000011533912666335442","1.3023875951766968","0.99999946735991","0.8674649888370205","0.86748461902542","0.8675042492138194","0.26419922709465027","0.83","0.8417178196322823","0.8534356392645647"
"magic-sweep-139","0.0001422025804340478","0.0008420937669328438","0.04935348140940648","0.000015216310185928615","1.321291446685791","0.999999569639882","0.8652323929368785","0.867440213389866","0.8696480338428535","0.27860966324806213","0.848","0.8536976110441412","0.8593952220882825"
"polished-sweep-33","0.0001318691014978259","0.0008554423218866216","0.11125064172719357","0.000012067926230805292","1.287999391555786","0.9999995592012296","0.867059062309722","0.867437889224506","0.8678167161392901","0.25309014320373535","0.834","0.843547687145418","0.853095374290836"
"flowing-sweep-12","0.00020960643363097825","0.0008071877282833571","0.019239236144687567","0.000015239270545695108","1.2883186340332031","0.9999994313162516","0.8668560990460726","0.8674108867818155","0.8679656745175583","0.25333794951438904","0.856","0.861220236207886","0.8664404724157722"
"unique-sweep-106","0.00018667108964977904","0.0008653531564195344","0.08534108967171972","0.00003080402417366305","1.2663451433181765","0.9999995489427628","0.8660442459914756","0.8672864546735363","0.868528663355597","0.2361348569393158","0.842","0.8499850209885558","0.8579700419771115"
"crimson-sweep-124","0.00013945299034597383","0.0007763747647244773","0.11816063196723554","0.000034894427420695064","1.315690517425537","0.9999996147776892","0.8684798051552669","0.8671319628106497","0.8657841204660327","0.27436161041259766","0.838","0.8435261296710221","0.8490522593420442"
"glorious-sweep-120","0.00012597143327736682","0.000757871536823235","0.15003946298570864","0.000010597021251912182","1.3535808324813845","0.9999996587659804","0.8674649888370205","0.8671165655129421","0.8667681421888638","0.30275362730026245","0.84","0.8469611623315543","0.8539223246631085"
"comic-sweep-55","0.00016431768767078116","0.0008246174989574365","0.036430032408691006","0.00004194468859296674","1.3165054321289062","0.9999995206895412","0.8658412827278262","0.8670749427562228","0.8683086027846192","0.274980753660202","0.854","0.8558799060094209","0.8577598120188417"
"sandy-sweep-367","0.0001416818962411164","0.0007530189352101431","0.05133356707832997","0.000013500197637648214","1.3320746421813965","0.999999530725694","0.8682768418916176","0.8670697417766021","0.8658626416615867","0.2867375612258911","0.846","0.8511414032391329","0.8562828064782658"
"dulcet-sweep-61","0.0001927113066164237","0.0008254925188530452","0.19036725501734475","0.000032494198849959174","1.264730453491211","0.9999995570856662","0.8660442459914756","0.867052806922641","0.8680613678538064","0.23485898971557617","0.856","0.854267071428948","0.8525341428578959"
"cool-sweep-39","0.00014494312954278814","0.0008953040052818173","0.07430006271999727","0.000012749277777508722","1.2707957029342651","0.9999995137805754","0.8648264664095798","0.8670105924765217","0.8691947185434636","0.23964327573776245","0.842","0.8502849521354481","0.8585699042708962"
"dandy-sweep-379","0.00021837673112790184","0.0008232802107523611","0.07666224823831327","0.000033026095627620824","1.2912075519561768","0.9999995698585494","0.8666531357824234","0.8669250637118073","0.8671969916411914","0.25557777285575867","0.844","0.8507302853751729","0.8574605707503459"
"lilac-sweep-360","0.00021848129091206736","0.0007173445942599056","0.06754459773336334","0.00003726680862127005","1.3228212594985962","0.9999996044458856","0.8668560990460726","0.866896458618039","0.8669368181900055","0.2797667980194092","0.85","0.8530913253664585","0.8561826507329169"
"avid-sweep-29","0.00012458609444413333","0.0007265806749526014","0.06525905647070065","0.00001691992173573164","1.3401755094528198","0.9999996348330418","0.8674649888370205","0.8667996620878581","0.8661343353386957","0.2928006052970886","0.844","0.8504447094302263","0.8568894188604527"
