"Name","adamw_lr","alpha","freeze_layers","muon_lr","batch_perplexity","raw_grad_norm","test_accuracy","test_combined_score","test_pearson","train_loss","val_accuracy","val_combined_score","val_pearson"
"eternal-sweep-78","0.00000379292017468686","0.03636965335338876","8","0.00022466052784707373","1.462317705154419","0.9999998698874842","0.8374264258169272","0.8548129282721868","0.8721994307274463","0.38002267479896545","0.85","0.8616885525658039","0.8733771051316078"
"dry-sweep-22","0.0002090570042593466","0.035120437623746815","9","0.00027065153409824155","1.475238561630249","0.999999814382503","0.8382382788715242","0.8546292122329255","0.8710201455943268","0.38881975412368774","0.842","0.8587199659163917","0.8754399318327833"
"northern-sweep-38","0.000011053892103498957","0.14726699041086302","2","0.00011275389231800212","1.686357021331787","0.9999998334394568","0.8439212502537041","0.8543696696287566","0.864818089003809","0.5225706100463867","0.834","0.8489906452833217","0.8639812905666434"
"blooming-sweep-87","0.00000893701591117447","0.058638157835691866","9","0.0002563425809283259","1.4475699663162231","0.9999998494542092","0.8345849401258372","0.8512973544472225","0.8680097687686079","0.36988621950149536","0.844","0.8569146510127869","0.8698293020255737"
"major-sweep-118","0.000184319789684206","0.08007611525793308","10","0.0006151102516699692","1.6667765378952026","0.9999999886089926","0.8341790135985386","0.8512860790120343","0.8683931444255301","0.5108915567398071","0.838","0.8529542105751915","0.8679084211503829"
"clean-sweep-81","0.00005057759262728803","0.12997945181580114","7","0.0001472880948008212","1.7020190954208374","0.999999863029576","0.8323523442256952","0.8508797926500734","0.8694072410744517","0.5318152904510498","0.83","0.8507253942827037","0.8714507885654074"
"wise-sweep-79","0.00000985830072893594","0.12876792745310872","9","0.00025270622228780655","1.5082422494888306","0.9999998610449432","0.8349908666531358","0.8507734790619577","0.8665560914707796","0.4109448790550232","0.842","0.8560161450395011","0.8700322900790022"
"earnest-sweep-93","0.00000788499432022207","0.03245688933354818","9","0.0002438209441631597","1.4589349031448364","0.9999998985153988","0.8313375279074487","0.8487993510552947","0.8662611742031406","0.3777066469192505","0.834","0.8498200716058404","0.8656401432116809"
"sage-sweep-51","0.00001626296839506632","0.1417868758677909","5","0.00011713833381885144","1.7743128538131714","0.9999998058719431","0.8333671605439416","0.8487599817517548","0.8641528029595682","0.5734131932258606","0.832","0.8466792112558732","0.8613584225117463"
"crimson-sweep-120","0.000025550391626751357","0.07524440102298957","8","0.00017179552582336096","1.6557971239089966","0.9999998807001628","0.8264664095798661","0.8467943620979588","0.8671223146160516","0.5042824745178223","0.836","0.8524135654434195","0.868827130886839"
"vocal-sweep-121","0.00010786738441980524","0.1186266668089414","7","0.00011878928558485896","1.7800915241241455","0.9999998796794743","0.8264664095798661","0.846368612182232","0.8662708147845981","0.5766648054122925","0.836","0.8521611442306962","0.8683222884613926"
"fresh-sweep-101","0.0000677188919544946","0.017454178372932307","8","0.00015259774198515876","1.695651650428772","0.9999998897526804","0.8262634463162167","0.8453163516495814","0.8643692569829461","0.5280671119689941","0.832","0.848821398873671","0.8656427977473421"
"noble-sweep-2","0.00010979392061604062","0.15897374884009352","10","0.00033294915492861624","1.520195722579956","0.9999997932321056","0.827887152425411","0.8437050069301603","0.8595228614349095","0.41883906722068787","0.846","0.8553666798248546","0.8647333596497092"
"fresh-sweep-75","0.00010601832257151408","0.04697809694217099","11","0.0008004482480794715","1.6765564680099487","0.999999881330977","0.8262634463162167","0.8428927943027771","0.8595221422893374","0.516741931438446","0.842","0.8537182094317737","0.8654364188635475"
"balmy-sweep-99","0.00013062312186457633","0.12142886200132996","10","0.00030856356324758554","1.515908122062683","0.9999998305032144","0.8252486299979703","0.8425593117056884","0.8598699934134066","0.4160147309303284","0.842","0.8527778883546749","0.8635557767093499"
"gallant-sweep-8","0.000019687301796815813","0.10118512368586136","7","0.00013434682726802506","1.7771649360656738","0.9999999264705256","0.8222041810432312","0.8423670715547765","0.8625299620663218","0.5750194191932678","0.828","0.8458132680569039","0.863626536113808"
"fine-sweep-43","0.000039549771578007375","0.060918698864317535","11","0.0008176637400194182","1.7527903318405151","0.9999999242093452","0.8260604830525675","0.8419048724844662","0.8577492619163649","0.5612090229988098","0.846","0.8569946021563053","0.8679892043126105"
"polished-sweep-115","0.00006833982467724511","0.1405644765560456","11","0.0007889083936062164","1.6983275413513184","0.9999998757343712","0.8248427034706718","0.8407583414066773","0.8566739793426826","0.5296438932418823","0.84","0.8503782845741212","0.8607565691482424"
"bumbling-sweep-109","0.000005904849915329791","0.15577839218014294","6","0.00011910878939117466","1.8408373594284055","0.999999888144962","0.8203775116703876","0.8397737402499479","0.859169968829508","0.6102205514907837","0.824","0.8416430719995696","0.8592861439991392"
"atomic-sweep-74","0.00014500035820627557","0.13697744195895997","11","0.0007510416624686306","1.6364893913269043","0.9999998567417768","0.8234219606251268","0.8386264547719813","0.8538309489188356","0.4925532937049866","0.84","0.8500465062183973","0.8600930124367947"
"absurd-sweep-77","0.000052346086773863705","0.07105187562838887","8","0.00013264483005376253","1.8203811645507812","0.999999868602296","0.8146945402882079","0.8364576844530291","0.8582208286178504","0.5990458726882935","0.826","0.843170162174465","0.8603403243489302"
"stilted-sweep-50","0.000039880502467928584","0.06466948324330038","10","0.00024693005971234495","1.5986579656600952","0.9999998915866803","0.8138826872336107","0.834197390497686","0.8545120937617614","0.4691645503044128","0.826","0.8410540004915182","0.8561080009830365"
"fearless-sweep-111","0.00000825531784140682","0.12995717122115605","12","0.0005954034022342733","1.6964476108551023","0.9999998947274666","0.8167241729247007","0.8319853329424144","0.8472464929601281","0.5285364389419556","0.822","0.8374695810124527","0.8529391620249055"
"serene-sweep-6","0.0000038407055761006676","0.1999145883395376","12","0.0006610027113986137","1.7780827283859253","0.9999998118168836","0.8144915770245585","0.8301249377619822","0.8457582984994058","0.5755356550216675","0.814","0.8325839487851099","0.8511678975702198"
"azure-sweep-73","0.00010578406218056552","0.007666351930402682","8","0.00010312296522276428","1.912667751312256","0.9999999370285072","0.8057641566876396","0.8287344635457421","0.8517047704038447","0.6484990119934082","0.81","0.8311606275118018","0.8523212550236036"
"light-sweep-20","0.00007996856653209725","0.04929923183714072","8","0.00010480405308592374","1.939262866973877","0.999999961928573","0.8059671199512888","0.828278327753948","0.8505895355566074","0.6623079776763916","0.806","0.8290102346563657","0.8520204693127313"
"dandy-sweep-39","0.00000770396384928502","0.06179853661960699","10","0.00021652091954598948","1.6798244714736938","0.9999998056476396","0.8057641566876396","0.8281998717416512","0.8506355867956629","0.5186893343925476","0.814","0.8319895257761085","0.8499790515522171"
"fallen-sweep-36","0.00013127245647440175","0.15868955481826194","9","0.00012238021293128093","1.896868348121643","0.9999998086213636","0.8049523036330424","0.8274308747790521","0.8499094459250618","0.6402043104171753","0.814","0.834221086940265","0.85444217388053"
"unique-sweep-9","0.00008041017832574965","0.1965065908049657","12","0.0007643577021846032","1.624922752380371","0.9999997547916654","0.815506393342805","0.8273151513888055","0.8391239094348062","0.48546022176742554","0.808","0.8288559350686968","0.8497118701373935"
"cosmic-sweep-119","0.00012690197434820488","0.03514739876883093","12","0.0004917896072724408","1.6989293098449707","0.9999998699424903","0.8069819362695352","0.826278891269634","0.8455758462697329","0.529998242855072","0.816","0.8356427831868433","0.8552855663736866"
"proud-sweep-112","0.00006707077109645585","0.07724314870788354","8","0.0001012235072859085","1.9776195287704468","0.9999998332043616","0.8031256342601989","0.8256152617649285","0.8481048892696581","0.6818938851356506","0.806","0.827973779910244","0.8499475598204881"
"stellar-sweep-24","0.00003745419865506422","0.14724413791608645","12","0.0009107108098328946","1.6431291103363037","0.9999997430911646","0.8059671199512888","0.823710067959318","0.8414530159673472","0.4966023862361908","0.808","0.826006153788549","0.8440123075770979"
"floral-sweep-105","0.00001639127323309488","0.15332660448512253","12","0.0004018788415262591","1.739181399345398","0.9999998962506912","0.8035315607874974","0.8231259306967276","0.8427203006059577","0.5534145832061768","0.814","0.832709661187796","0.8514193223755919"
"earthy-sweep-46","0.00002407371652211293","0.09888201801028124","12","0.0003503481608101377","1.748070478439331","0.9999998539508972","0.800284148569109","0.8210187850489021","0.8417534215286951","0.5585125088691711","0.806","0.8257367653533013","0.8454735307066026"
"celestial-sweep-94","0.000004727943719049935","0.07501411603856932","12","0.00026503019414340196","1.8537495136260984","0.9999997690431012","0.7889182058047494","0.8117134346325554","0.8345086634603613","0.6172103881835938","0.798","0.8160245017950762","0.8340490035901524"
"splendid-sweep-67","0.0000038122540067943498","0.18994984818158492","10","0.00012323097655690806","2.112459897994995","0.9999998143920122","0.7619240917393951","0.7973157688799819","0.8327074460205688","0.7478531002998352","0.762","0.7968342859283495","0.831668571856699"
"major-sweep-90","0.00000643480725782489","0.04147157172252807","11","0.00015913111622681652","2.1537015438079834","0.9999997647734258","0.7617211284757459","0.7950973309062366","0.8284735333367274","0.7671879529953003","0.766","0.7940950610352201","0.8221901220704402"
"stellar-sweep-108","0.000009306543371005024","0.16002213066132415","12","0.00020445240685069","2.1014997959136963","0.9999998123450384","0.7513700020296327","0.7875757307829925","0.8237814595363522","0.7426512241363525","0.752","0.7872595367102283","0.8225190734204566"
